link,timing,is_apartment,floor,floors_count,rooms_count,total_meters,price_per_m2,price,year_of_construction,living_meters,kitchen_meters,ceiling_height,residential_complex,author_developer,author_homeowner,author_realtor,author_unknown,elevator_type_missing,passenger_elevators,cargo_elevators,bathroom_type_missing,combined_bathrooms,separate_bathrooms,balcony_type_missing,balconies,loggias,repair_type_Без ремонта,repair_type_Евроремонт,repair_type_Косметический,building_type_Блочный,building_type_Кирпичный,building_type_Монолитный,building_type_Панельный,parking_type_Наземная,window_view_Во двор,window_view_На улицу,window_view_На улицу и двор,district_Дзержинский,district_Индустриальный,district_Кировский,district_Мотовилихинский,district_Орджоникидзевский,district_Свердловский
https://perm.cian.ru/sale/flat/293200424/,7,False,6,9,1,34.0,126470,4300000,1983,16.0,8.0,2.7,False,False,True,False,False,0,1,0,0,0,1,0,0,1,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,False
https://perm.cian.ru/sale/flat/290959509/,1,False,1,17,1,40.0,90000,3600000,2014,20.119815183903658,9.0,2.7,False,True,False,False,False,0,2,2,0,0,1,0,0,1,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/290748806/,1,False,12,12,1,35.0,82857,2899999,1980,17.0,9.0,2.7,False,True,False,False,False,0,2,0,0,0,1,0,0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/293746357/,11,False,1,10,1,33.7,106528,3590000,1967,16.0,6.0,2.48,False,False,False,False,True,0,1,0,0,1,0,0,0,1,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False
https://perm.cian.ru/sale/flat/294030483/,0,False,5,5,1,29.9,49498,1480000,1974,17.0,6.0,2.5,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294078431/,1,False,2,5,1,32.4,60185,1950000,1986,18.0,7.0,2.7,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294064738/,1,False,7,12,1,36.0,81944,2950000,1982,18.10783366551329,9.0,2.7,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294066370/,0,False,17,20,1,48.1,124948,6010000,2017,23.0,10.0,2.7,False,False,False,True,False,0,2,2,1,0,0,0,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/294015033/,0,False,12,18,1,41.0,167073,6850000,2022,16.0,12.0,2.7,False,False,False,True,False,0,2,2,1,0,0,0,1,1,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
https://perm.cian.ru/sale/flat/294059411/,1,False,3,9,1,23.2,70258,1630000,1984,12.0,6.0,2.5,False,False,False,True,False,0,1,0,0,1,0,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294017703/,4,False,3,5,1,31.0,99032,3070000,1968,18.0,6.0,2.7,False,False,False,True,False,1,0,0,0,0,1,0,1,0,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/294028022/,0,False,9,10,1,34.7,92219,3200000,1988,16.0,8.0,2.7,False,False,False,True,False,0,1,0,0,0,1,0,0,1,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
https://perm.cian.ru/sale/flat/294089373/,1,False,2,5,1,34.2,58479,2000000,1992,17.20244198223763,9.0,2.7,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294159955/,0,False,4,4,1,29.4,84183,2475000,1959,17.0,5.0,2.7,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294166411/,0,False,1,9,1,33.0,78757,2599000,1983,18.0,8.0,2.8,False,False,False,True,False,1,0,0,1,0,0,1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
https://perm.cian.ru/sale/flat/294152384/,0,False,4,5,1,34.1,80351,2740000,1988,17.152142444277867,7.0,2.7,False,False,False,True,False,1,0,0,0,1,0,0,1,0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
